Latitude,Longitude,PredictedClusterID
38.677,-121.29,1
33.742,-116.958,2
33.991,-118.225,2
37.316,-121.876,1
37.763,-122.422,1
33.6905,-116.143,2
34.038,-118.233,2
35.415,-119.034,2
33.657,-117.696,2
34.129,-117.9,2
37.662,-121.872,1
32.754,-117.206,2
35.376,-119.015,2
37.93,-121.299,1
32.721,-117.167,2
35.001,-117.657,2
33.827,-117.92,2
33.875,-118.151,2
41.283,-122.301,1
37.985,-120.305,1
34.567,-118.006,2
37.931,-121.622,1
36.738,-119.788,3
34.413,-117.323,2
32.796,-117.047,2
33.975,-117.506,2
33.975,-117.506,2
34.228,-118.452,2
34.15,-117.475,2
34.107,-117.89,2
34.113,-118.253,2
39.135,-121.547,1
35.324,-119.02,2
34.269,-118.781,2
35.916,-119.054,3
34.047,-118.249,2
33.899,-118.169,2
34.864,-118.195,2
41.746,-124.149,1
36.781,-119.831,3
37.764,-122.393,1
37.764,-122.393,1
36.575,-119.413,3
40.573,-122.36,1
34.052,-117.718,2
36.611,-121.854,1
34.06,-118.294,2
34.108,-117.292,2
34.689,-118.164,2
36.802,-119.742,3
38.098,-122.253,1
34.259,-118.432,2
34.536,-117.399,2
34.108,-117.436,2
37.262,-121.805,1
34.092,-117.314,2
34.038,-118.233,2
33.991,-118.225,2
38.682,-121.504,1
34.038,-118.233,2
34.038,-118.233,2
33.781,-118.174,2
36.705,-121.656,1
34.069,-117.557,2
37.664,-120.95,1
33.759,-117.99,2
34.165,-117.333,2
33.939,-117.228,2
34.038,-118.233,2
34.038,-118.233,2
38.707,-122.903,1
34.522,-117.307,2
34.038,-118.233,2
32.723,-117.108,2
38.001,-121.728,1
38.612,-121.447,1
33.953,-118.243,2
33.938,-118.309,2
34.075,-118.274,2
33.943,-118.281,2
36.77,-119.764,3
38.942,-121.083,1
35.89,-119.275,3
34.106,-117.546,2
34.959,-116.419,2
34.959,-116.419,2
38.682,-121.504,1
38.116,-120.879,1
33.777,-118.258,2
32.695,-117.102,2
38.539,-121.459,1
37.715,-122.011,1
34.525,-117.41,2
33.984,-118.228,2
34.943,-120.45,3
35.124,-118.389,2
33.878,-118.221,2
33.911,-116.779,2
37.48,-122.228,1
34.428,-118.558,2
33.745,-117.85,2
34.959,-116.419,2
36.987,-120.052,3
38.221,-122.127,1
37.5,-119.986,3
36.24,-119.326,3
